iter	Passed	Remaining
685	1412	646
686	1414	644
687	1415	642
688	1417	639
689	1418	637
690	1420	635
691	1421	632
692	1423	630
693	1426	628
694	1428	626
695	1430	624
696	1431	622
697	1433	620
698	1435	618
699	1436	615
700	1438	613
701	1442	612
702	1444	610
703	1446	608
704	1447	605
705	1449	603
706	1451	601
707	1453	599
708	1455	597
709	1457	595
710	1459	593
711	1461	591
712	1463	589
713	1465	586
714	1466	584
715	1470	583
716	1472	581
717	1474	579
718	1475	576
719	1477	574
720	1479	572
721	1480	570
722	1483	568
723	1485	566
724	1487	564
725	1489	562
726	1490	559
727	1492	557
728	1494	555
729	1495	553
730	1497	551
731	1499	549
732	1502	547
733	1503	544
734	1505	542
735	1506	540
736	1508	538
737	1510	536
738	1514	534
739	1516	532
740	1518	530
741	1519	528
742	1521	526
743	1522	523
744	1523	521
745	1525	519
746	1529	517
747	1531	516
748	1533	513
749	1534	511
750	1536	509
751	1537	507
752	1539	504
753	1541	502
754	1545	501
755	1547	499
756	1550	497
757	1552	495
758	1554	493
759	1557	491
760	1561	490
761	1563	488
762	1564	485
763	1566	483
764	1567	481
765	1569	479
766	1572	477
767	1575	476
768	1577	473
769	1579	471
770	1580	469
771	1582	467
772	1583	465
773	1585	462
774	1588	461
775	1590	459
776	1592	457
777	1593	454
778	1595	452
779	1597	450
780	1598	448
781	1600	446
782	1604	444
783	1606	442
784	1608	440
785	1609	438
786	1610	435
787	1611	433
788	1613	431
789	1617	429
790	1620	428
791	1622	426
792	1623	423
793	1625	421
794	1626	419
795	1628	417
796	1629	414
797	1632	413
798	1635	411
799	1637	409
800	1638	407
801	1640	404
802	1642	402
803	1643	400
804	1645	398
805	1649	397
806	1651	394
807	1653	392
808	1654	390
809	1656	388
810	1658	386
811	1662	385
812	1664	382
813	1666	380
814	1668	378
815	1669	376
816	1671	374
817	1672	372
818	1674	370
819	1676	367
820	1678	366
821	1680	363
822	1682	361
823	1683	359
824	1685	357
825	1686	355
826	1687	353
827	1688	350
828	1691	348
829	1693	346
830	1695	344
831	1696	342
832	1698	340
833	1699	338
834	1700	336
835	1702	333
836	1703	331
837	1707	330
838	1709	327
839	1710	325
840	1712	323
841	1713	321
842	1714	319
843	1715	317
844	1717	314
845	1718	312
846	1723	311
847	1724	309
848	1726	307
849	1728	304
850	1729	302
851	1731	300
852	1732	298
853	1733	296
854	1735	294
855	1738	292
856	1740	290
857	1742	288
858	1743	286
859	1744	284
860	1746	281
861	1747	279
862	1748	277
863	1752	275
864	1754	273
865	1755	271
866	1757	269
867	1758	267
868	1759	265
869	1760	263
870	1762	261
871	1763	258
872	1765	256
873	1768	254
874	1769	252
875	1771	250
876	1772	248
877	1774	246
878	1775	244
879	1776	242
880	1778	240
881	1780	238
882	1783	236
883	1785	234
884	1786	232
885	1788	230
886	1790	228
887	1791	225
888	1793	223
889	1797	222
890	1799	220
891	1800	218
892	1802	215
893	1803	213
894	1804	211
895	1806	209
896	1807	207
897	1808	205
898	1811	203
899	1812	201
900	1814	199
901	1815	197
902	1817	195
903	1818	193
904	1820	191
905	1821	188
906	1822	186
907	1823	184
908	1825	182
909	1827	180
910	1828	178
911	1830	176
912	1831	174
913	1832	172
914	1834	170
915	1835	168
916	1836	166
917	1838	164
918	1839	162
919	1841	160
920	1843	158
921	1844	156
922	1845	153
923	1847	151
924	1848	149
925	1849	147
926	1850	145
927	1852	143
928	1853	141
929	1855	139
930	1858	137
931	1860	135
932	1862	133
933	1863	131
934	1865	129
935	1866	127
936	1867	125
937	1869	123
938	1871	121
939	1873	119
940	1874	117
941	1875	115
942	1877	113
943	1878	111
944	1879	109
945	1880	107
946	1882	105
947	1883	103
948	1885	101
949	1887	99
950	1888	97
951	1890	95
952	1891	93
953	1892	91
954	1894	89
955	1895	87
956	1896	85
957	1898	83
958	1900	81
959	1902	79
960	1903	77
961	1905	75
962	1906	73
963	1908	71
964	1909	69
965	1910	67
966	1912	65
967	1913	63
968	1916	61
969	1917	59
970	1919	57
971	1920	55
972	1921	53
973	1922	51
974	1924	49
975	1925	47
976	1926	45
977	1928	43
978	1931	41
979	1932	39
980	1934	37
981	1935	35
982	1936	33
983	1937	31
984	1938	29
985	1939	27
986	1941	25
987	1942	23
988	1945	21
989	1947	19
990	1949	17
991	1950	15
992	1952	13
993	1953	11
994	1954	9
995	1956	7
996	1958	5
997	1961	3
998	1963	1
999	1964	0
